,title,author,genre,rating
0,To Kill a Mockingbird,Harper Lee,Fiction,4.28
1,1984,George Orwell,Dystopian,4.17
2,The Great Gatsby,F. Scott Fitzgerald,Classic,3.92
3,Pride and Prejudice,Jane Austen,Romance,
4,The Catcher in the Rye,J.D. Salinger,Classic,3.81
5,Moby-Dick,Herman Melville,Adventure,3.5
6,War and Peace,Leo Tolstoy,Historical,4.11
7,The Lord of the Rings,J.R.R. Tolkien,Fantasy,4.5
8,The Hobbit,J.R.R. Tolkien,Fantasy,4.27
9,Fahrenheit 451,Ray Bradbury,Dystopian,3.99
10,Jane Eyre,Charlotte Brontë,Classic,4.13
11,Crime and Punishment,Fyodor Dostoevsky,Philosophical,4.21
12,The Brothers Karamazov,Fyodor Dostoevsky,Philosophical,4.32
13,The Picture of Dorian Gray,Oscar Wilde,Gothic,4.12
14,Brave New World,Aldous Huxley,Dystopian,3.99
15,Anna Karenina,Leo Tolstoy,Romance,4.05
16,The Odyssey,Homer,Epic,3.76
17,The Iliad,Homer,Epic,3.87
18,Wuthering Heights,Emily Brontë,Classic,3.85
19,Don Quixote,Miguel de Cervantes,Adventure,
20,The Divine Comedy,Dante Alighieri,Epic,4.02
21,Hamlet,William Shakespeare,Tragedy,4.04
22,Macbeth,William Shakespeare,Tragedy,3.91
23,A Tale of Two Cities,Charles Dickens,Historical,3.85
24,Great Expectations,Charles Dickens,Classic,3.8
25,The Count of Monte Cristo,Alexandre Dumas,Adventure,4.64
26,Les Misérables,Victor Hugo,Historical,4.42
27,Ulysses,James Joyce,Modernist,3.75
28,The Alchemist,Paulo Coelho,Philosophical,3.88
29,One Hundred Years of Solitude,Gabriel García Márquez,Magical Realism,4.07
30,Lolita,Vladimir Nabokov,Classic,3.92
31,The Catch-22,Joseph Heller,Satire,3.98
32,The Grapes of Wrath,John Steinbeck,Historical,4.07
33,East of Eden,John Steinbeck,Classic,4.38
34,The Road,Cormac McCarthy,Post-apocalyptic,4.07
35,Beloved,Toni Morrison,Historical,3.91
36,Slaughterhouse-Five,Kurt Vonnegut,Science Fiction,4.09
37,Gone with the Wind,Margaret Mitchell,Historical,4.3
38,The Old Man and the Sea,Ernest Hemingway,Classic,3.79
39,The Sun Also Rises,Ernest Hemingway,Classic,3.8
40,Of Mice and Men,John Steinbeck,Classic,3.88
41,A Farewell to Arms,Ernest Hemingway,Historical,3.79
42,Dracula,Bram Stoker,Gothic,3.99
43,Frankenstein,Mary Shelley,Gothic,3.81
44,Heart of Darkness,Joseph Conrad,Classic,3.44
45,The Stranger,Albert Camus,Philosophical,4.0
46,To the Lighthouse,Virginia Woolf,Modernist,3.8
47,Middlemarch,George Eliot,Classic,4.13
48,Sense and Sensibility,Jane Austen,Romance,4.06
49,David Copperfield,Charles Dickens,Classic,3.97
50,The Shining,Stephen King,Horror,4.24
51,It,Stephen King,Horror,4.25
52,The Stand,Stephen King,Horror,4.34
53,Pet Sematary,Stephen King,Horror,3.98
54,Dune,Frank Herbert,Science Fiction,4.23
55,The Martian,Andy Weir,Science Fiction,4.41
56,Ender's Game,Orson Scott Card,Science Fiction,4.3
57,Foundation,Isaac Asimov,Science Fiction,4.17
58,Neuromancer,William Gibson,Cyberpunk,3.91
59,Snow Crash,Neal Stephenson,Cyberpunk,4.03
60,The Left Hand of Darkness,Ursula K. Le Guin,Science Fiction,4.17
61,The Dispossessed,Ursula K. Le Guin,Science Fiction,4.24
62,Hyperion,Dan Simmons,Science Fiction,4.23
63,The Dark Tower,Stephen King,Fantasy,4.25
64,American Gods,Neil Gaiman,Fantasy,4.11
65,Good Omens,Neil Gaiman & Terry Pratchett,Fantasy,4.25
66,The Name of the Wind,Patrick Rothfuss,Fantasy,4.51
67,Mistborn: The Final Empire,Brandon Sanderson,Fantasy,4.45
68,The Way of Kings,Brandon Sanderson,Fantasy,4.65
69,A Game of Thrones,George R.R. Martin,Fantasy,4.45
70,The Eye of the World,Robert Jordan,Fantasy,4.18
